t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,SOCS3nRNA3_Obs
300,NaN,NaN,0.0577125697898227,0.059175312622329,NaN,0.130673985207036,105.18663742901,476.089054208638,361.530389602821,381.023357478725,0.0412002861363557,26.0591591378892,0.000929197899921826,0.000945934636526299,0.000903332746575439,0.0604773626810383,10.3054542756362,0.00101725168094157
350,NaN,0.0179943878776724,0.111761257035117,NaN,NaN,0.179182304542109,NaN,NaN,NaN,466.87879213577,0.0414530714370341,NaN,NaN,NaN,NaN,NaN,14.6270463089119,NaN
400,NaN,0.023087408068403,NaN,NaN,NaN,NaN,NaN,NaN,422.661568126124,NaN,NaN,21.5420560290779,0.00101384812767129,0.000908338711286627,0.000835294430201021,0.0438969343919079,13.7320179443449,0.00116394349737224
450,NaN,NaN,NaN,NaN,NaN,0.179928448061402,NaN,NaN,419.042891548982,NaN,0.0404662800923166,NaN,NaN,NaN,NaN,0.0635477893711525,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.8353455671758,NaN,0.000780477809348636,NaN,NaN,11.5235788865043,NaN
550,NaN,NaN,NaN,NaN,NaN,0.199012556998757,NaN,NaN,NaN,NaN,0.0415546349227267,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9914680360453,NaN,0.000970544202864198,NaN,0.035212633338895,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,0.168041096326213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0391379727148477,NaN,NaN,0.00111673726517251,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,0.172477264737235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0536241948470005,NaN,NaN,0.00101484606278234,NaN,NaN,NaN,NaN
