t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,pSTAT5_Obs,Compound_1_Obs
90,NaN,0.203534925219854,NaN,NaN,NaN,NaN,69.6449854068386,NaN,NaN,728.475676794123,NaN,NaN,NaN,NaN,9.07113133076337,NaN,0.00164178187548841,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,25.6752701914023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426841610384138,NaN,NaN,20.4121231376968
100,6.72705376673756,0.230544965939419,0.0159269904115984,0.0503829206986261,NaN,NaN,61.2315126559967,15.3572047570744,501.506670130017,614.681652542521,468.558038588098,700.836177611899,633.906703899176,NaN,13.9139915507765,NaN,NaN,0.00156693799300135,0.00146530581842921,NaN,7.85685732512189,45.3591111256548,NaN
150,9.68451193464568,0.126573477497105,0.0102878195249584,0.0488335706704078,0.00409619248093067,46.8451616564162,71.3601261749191,9.94281806392213,371.840095144104,426.88916135748,529.440593301594,461.672688561727,275.783842510658,0.0704453926129947,15.2832957560283,0.000829453406454992,0.00127800972903078,0.000966648516734754,0.000800227458445419,0.0532974699802346,17.1553424583781,29.7950841896272,12.7752815490606
200,4.96716317015783,0.172125136358588,0.0134505749764137,0.0506966031741046,0.00489381151443675,36.8690073962638,123.840874223754,10.8196087204025,359.771645869886,428.937896070868,375.089521306451,287.711076842833,328.388225419273,NaN,15.8040769728108,0.000427134347056349,0.001051236136852,0.000872925933639437,NaN,0.0538686738313811,16.9851470537931,28.5981149817792,8.10763959920182
250,7.44025161582795,0.150900389370405,0.0118990460119376,0.0325764958091622,0.00183512349280706,57.5913286040973,99.7031606242814,10.7710868425911,118.245312625981,264.606714660866,271.17845968582,235.034999298173,257.853563726144,0.0471468082708921,16.0461114755376,0.000695735436050987,0.000839112942593045,NaN,0.000756827534978219,0.045146454669202,14.9578567479517,30.3743936349307,7.10324162606054
300,7.09719763562765,0.179840969495397,0.011216523125287,0.0304856873071073,0.0035367934952609,NaN,117.488182331286,NaN,268.886607076013,266.21938569518,137.3125631877,188.239666627229,357.645021033201,0.0527011763390469,9.6945959393988,0.000751726191982318,NaN,0.00115111890282442,0.000412167350195319,NaN,16.2708963459857,NaN,NaN
350,6.57061156767829,NaN,NaN,NaN,NaN,42.3809960291453,NaN,11.657573831086,280.142210638484,324.536597237936,NaN,269.892445245072,317.533251172183,0.0269612721002085,NaN,NaN,0.000480903378598064,0.000368122538743637,NaN,0.0492312939437149,13.2313745288947,24.3368447037329,6.76133424888418
400,NaN,NaN,NaN,NaN,NaN,53.1653806836977,112.217073163155,11.2206338729496,NaN,261.134313023026,306.031379450349,NaN,215.76021100616,NaN,10.9897129790953,0.000787899341420461,0.000808348682962488,0.000705765377921613,0.00094826573127715,0.0467728813675128,NaN,12.8538187695896,9.45851516291988
450,NaN,NaN,NaN,NaN,NaN,NaN,115.030728936103,NaN,437.352077021671,NaN,388.478682558981,287.329214492816,NaN,0.0487513807006577,NaN,NaN,NaN,NaN,NaN,NaN,10.4247449370531,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,49.415330380157,NaN,9.58326401770324,NaN,NaN,NaN,NaN,NaN,NaN,12.4100500331513,0.000760544305895496,0.000771129373253138,0.000964979934852615,0.000700958167458487,0.0437657587448925,12.3890734320526,22.8411439729895,1.60920391734375
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195.453816934651,NaN,NaN,NaN,NaN,0.0217667362678714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.22794215520897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000333776805719969,NaN,7.95389750861493e-05,0.000698095654613168,0.0429137142175045,14.8433017167687,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0478268445628149,NaN,NaN,0.000693968815021004,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00056316607868949,0.0464002764924421,11.4304856791146,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210066907706711,11.1794444847625,NaN,NaN
