t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHnRNA5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs
55,NaN,NaN,NaN,NaN,0.00372883228334026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.175899454893698,42.8410232570115,NaN,NaN,NaN,NaN,0.0187805429571573,NaN,0.0199497255636057,NaN,NaN,NaN,0.114590128080311,NaN,0.098048206334838
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51581015891575,NaN,NaN,NaN
70,NaN,0.0345861817627194,NaN,NaN,NaN,43.8804447988733,NaN,NaN,NaN,0.0210115543790009,NaN,NaN,0.0896663700170516,NaN,NaN,0.144250392353715,NaN
75,NaN,NaN,NaN,43.5558370173162,NaN,NaN,23.2867349115739,NaN,NaN,NaN,NaN,0.0195853153713722,NaN,NaN,NaN,NaN,NaN
80,1.7353077715387,NaN,NaN,NaN,NaN,NaN,NaN,11.4444965601765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.105388510359183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118571871112607,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,54.1518056325125,NaN,38.7021693080813,NaN,NaN,0.0147901488813818,NaN,NaN,NaN,NaN,NaN,0.115759742419471,NaN,0.099434365210828
100,1.13103827977506,0.0225218141682474,0.158589454326991,NaN,0.00401430808006399,40.3796276602711,18.9824982522376,10.8227725296666,NaN,0.0117982707493372,NaN,0.015764009112863,0.0826331690733997,16.5115001092313,NaN,0.0881692321250806,NaN
150,1.31775613293337,0.0359815424360177,0.0840553677680442,NaN,0.0047142129538876,31.9828054412642,13.6301001143183,6.9097609478454,0.0119242435371608,0.0108309402265399,0.00862687529286516,0.0107367444232601,0.0824250198083286,21.2190070218516,0.0845586232787783,0.102163030209669,0.0839261058128066
200,1.23561528848817,0.0265131358036447,0.126012587149896,NaN,NaN,37.7992445078338,14.172730347075,10.3819453316533,0.0105647595871578,0.0099079085038998,0.00932274997157078,0.0129035979795526,0.0692175534676621,24.9400231016384,0.0881391660146884,0.111144312694165,0.0765093335392162
250,1.48281758376706,0.0354065737225277,0.0913113879142564,NaN,0.00549230819731466,44.4068468156876,20.0369131196336,7.10955240511719,NaN,0.00937827214842126,0.0107930286503996,0.0117537467942085,0.0570538597678036,21.4664729580265,0.0759024884121318,0.0827602889913587,NaN
300,1.56655400664389,0.0280830539942625,NaN,NaN,0.0048776732954959,39.9958429909362,11.8438156181261,NaN,0.010953913457797,NaN,NaN,NaN,0.0478597757230863,23.4968789364516,NaN,NaN,0.0901734372465929
350,1.33585613859647,NaN,NaN,NaN,NaN,48.1145554499649,12.9808118583775,7.60176073022751,0.014171927178921,0.01046052186147,0.0127238217505348,0.0127502900972025,NaN,19.2779897680997,0.0850507019684607,0.0923695641255158,0.0615559630934232
400,1.226524541956,NaN,NaN,NaN,0.00644895880763843,27.704715853725,NaN,8.82959947239553,NaN,0.0113440083377608,0.0116211085954934,NaN,0.0539626294421048,17.0986138440513,0.0973908775983359,0.05751255261068,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,12.2451129783909,NaN,0.0118157665019883,NaN,NaN,0.00897700840920294,0.0446538729207327,NaN,NaN,NaN,0.0671338811783568
500,NaN,NaN,NaN,NaN,0.0053685243717828,NaN,NaN,5.85562599684462,NaN,0.0106936878458364,NaN,NaN,NaN,22.1404559251154,0.061366079039128,0.0772022312590456,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0657539548683009,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,0.00526017539792266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2388125447745,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,0.00541878396712883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.744773948856,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,0.00626089965889841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9223481860466,NaN,NaN,NaN
