t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,CISRNA_Obs
60,NaN,NaN,NaN,23.5212303414179,NaN,NaN,NaN,NaN,NaN,NaN,24.3177415697468,0.00520157173996985,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.136871040901157,57.0812610099516,10.4050726464401,NaN,NaN,4249.3720013298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.218666455791454
70,0.0740523063483345,0.0519182374307286,NaN,NaN,NaN,NaN,NaN,NaN,4502.93356232418,NaN,NaN,NaN,0.00442771599269138,0.00398584489510746,NaN,0.00457375849962073,NaN,NaN
75,NaN,NaN,0.0200522034638933,NaN,NaN,NaN,NaN,3479.87486177258,NaN,NaN,NaN,NaN,NaN,NaN,0.0044234940106752,NaN,NaN,NaN
80,NaN,NaN,NaN,22.8887435224028,NaN,NaN,6.15450225689731,NaN,NaN,4702.43773931556,NaN,NaN,NaN,NaN,NaN,NaN,0.126121155697992,NaN
85,NaN,NaN,NaN,NaN,NaN,65.5576082235745,NaN,NaN,NaN,NaN,NaN,0.00307642748721854,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3075.06201514138,NaN,56.1929537913074,NaN,NaN,NaN,NaN,NaN,NaN,0.228283476484922
95,NaN,0.0466889771259841,NaN,NaN,NaN,NaN,6.33914326841594,NaN,NaN,4453.83667866217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0749606014565463,0.033798597416494,0.023811822393754,24.6738530783527,0.149350729284014,78.3512694865009,5.24906880653014,2336.79261904338,2503.32106610934,3929.86922987164,75.2238891886061,0.00269339583701406,0.00218959008807912,0.0025370940100926,0.00222455035855538,0.00276630054126842,0.132062838786611,0.204048995902552
150,0.0690073835938205,0.046569110204947,0.0249496207567599,25.2410709959928,0.148154558167726,82.9352631892685,7.25452219408737,1178.05316614947,1430.51759476118,1655.79780385633,72.5727904765066,0.00216968587199254,0.0015913224320383,0.00156765206278894,0.0017129450273992,0.00164455812103428,0.108719225997999,0.0878262001732352
200,0.086588058223876,0.0657616422883579,0.0274647211857472,NaN,0.170602126494633,77.3072937415513,6.22943416847395,NaN,NaN,1205.01645503113,73.7981633724657,0.00174308007542055,0.00184147215245601,0.00179130391425566,0.00195142805453644,0.0014492054974465,0.0843277045712844,0.0649550285378504
250,0.0832999346335796,0.0455210487812024,NaN,NaN,NaN,79.1705479191782,6.31169379616533,NaN,NaN,1547.64275595837,61.7662718089536,0.00178502850115024,0.0018937378250436,NaN,0.00237362849214352,0.00187750856559463,NaN,0.0754112690993745
300,0.0685716380602099,0.0531236691189454,NaN,NaN,0.15320104411472,83.2185462038061,NaN,NaN,NaN,NaN,73.9730589534416,0.0022294655631505,NaN,0.00173664785662927,0.00214969476267275,0.00196806958945137,0.0815311175053254,0.0708762433216754
350,0.0879485646611003,0.0586931283408151,NaN,NaN,0.16236778000531,NaN,NaN,NaN,NaN,NaN,NaN,0.00196973499060934,0.00145684040410295,0.00226806834480608,NaN,NaN,0.0688489128730841,0.0701742913098385
400,NaN,NaN,NaN,NaN,0.172832716048758,NaN,NaN,NaN,NaN,NaN,56.914044204864,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.6354021095073,NaN,NaN,NaN,NaN,NaN,0.0804248199585383,NaN
500,NaN,NaN,NaN,NaN,0.172773634302762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07343216686848,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0746322292041615,NaN
