t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
20,0.072142613569263,0.0922691990706066,15.3111544990233,0.210739791383145,78.8354870835386,21.8419955637816,1032.12419790371,1428.62208751801,709.982470587113,588.534358593781,219.275027824396,NaN,NaN,NaN,0.0273032001718583,4.32187188842388
25,NaN,0.0622794574626187,NaN,NaN,21.0964236207008,43.6353742528751,893.119303162581,1002.84314899898,NaN,1115.52684211944,809.959989115867,0.0957045025231129,0.00220519692804567,0.00326618119564467,NaN,NaN
30,0.121896931784333,NaN,NaN,0.223791557041397,NaN,33.4081044347121,2173.35693698065,1315.66049994103,1141.20624692227,1824.81832469865,NaN,NaN,NaN,NaN,0.0290783496956902,6.134642249005
35,0.0615054502501091,0.0472365995251292,20.0071083703164,NaN,33.915978268587,NaN,924.933355984524,NaN,1696.52365864521,NaN,735.076188262365,0.132816592034615,0.00269144192674459,0.00261014906387208,NaN,NaN
40,NaN,0.0456536462733913,NaN,NaN,29.4149520603791,31.9371030100438,NaN,924.49835266002,NaN,1998.77924790704,553.264059910591,NaN,NaN,NaN,0.0444081563952194,10.5637345584454
45,0.0732207933483508,NaN,15.9576049603809,0.230906596282741,NaN,NaN,891.434446429826,NaN,1133.45769134149,1027.51713598731,NaN,0.113885512927887,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,26.136225901003,24.3080738794449,NaN,642.630964922027,NaN,NaN,2225.1337935695,NaN,0.00226329771333577,0.00198997199079573,NaN,NaN
55,0.0447711414264766,0.0242134567893136,NaN,0.24944562107208,NaN,NaN,593.43850179347,NaN,924.84106875757,NaN,NaN,0.106670241403415,NaN,NaN,0.102840882184723,18.9864868857647
60,NaN,NaN,37.0966776653047,NaN,8.14859260074593,22.6215738749898,NaN,954.512077786557,NaN,864.440526948121,NaN,NaN,NaN,NaN,NaN,NaN
65,0.0651543376100795,NaN,NaN,NaN,NaN,NaN,493.373653030426,NaN,738.640726012495,NaN,682.895801584347,NaN,0.00117829504467436,0.00113835430425461,NaN,19.6827083630779
70,NaN,0.0159938131596635,NaN,0.232855064078473,NaN,NaN,NaN,808.034591936516,NaN,1001.49147293727,NaN,0.105863046826809,NaN,NaN,0.0940253243994303,NaN
75,NaN,NaN,23.0851467442435,NaN,12.9430283451696,19.6431927195315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0.0464845829250749,NaN,NaN,NaN,NaN,NaN,610.080514568912,NaN,465.95543936362,NaN,581.643075279457,NaN,0.00072171384594997,NaN,NaN,NaN
85,NaN,NaN,NaN,0.112340614413477,NaN,NaN,NaN,377.89866804644,NaN,362.843727401194,NaN,NaN,NaN,0.000658859069368703,0.0421825253912029,11.7701949907023
90,NaN,NaN,NaN,NaN,9.33191614773054,6.41173075976363,NaN,NaN,NaN,NaN,NaN,0.0667724191109097,NaN,NaN,NaN,NaN
95,0.0392526003898003,NaN,12.2164550785598,NaN,NaN,NaN,295.465772109636,NaN,276.380649516679,NaN,442.725420884423,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,28.7089673122927,0.124628496328561,6.35889117280682,7.18912031958172,NaN,276.524963816709,283.456165245685,384.506462266179,NaN,0.0860273559594355,0.000561673128404768,0.000833506698844875,0.0651141089011429,5.85913710168875
150,NaN,NaN,14.981856895973,0.505802102265175,19.5458106477435,NaN,NaN,NaN,NaN,NaN,NaN,0.0383234082978615,0.000611955852628566,0.000187590499061777,0.0271726948382961,7.37571834910415
200,NaN,NaN,20.3266280825398,0.197820786989048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000411701797142776,NaN,0.0211458493375771,18.4555054020946
