t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
35,0.0630048841034648,0.0177312177672932,NaN,NaN,NaN,NaN,NaN,NaN,984.119808409243,460.877607259752,993.847484513851,NaN,0.00141590093657361,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,19.9722501243713,24.1529832246898,1709.51649489368,1301.39936125973,NaN,931.968648665448,755.399393761684,0.271797655985398,NaN,0.00234478143018596,NaN,12.9193739734564
45,NaN,0.0198129796812332,33.3641690464067,0.292508138590777,NaN,NaN,1108.1808742833,NaN,909.985025374142,NaN,NaN,NaN,NaN,NaN,0.0642880270184178,NaN
50,0.0877411512630346,NaN,NaN,NaN,16.3300841544472,13.7452538332191,NaN,817.209819024414,1306.11808600535,879.112836370742,991.753523781495,0.211545244551578,0.00126844330802229,NaN,NaN,NaN
55,NaN,NaN,24.8297311678783,0.44676526194016,NaN,NaN,465.292768820225,NaN,NaN,NaN,NaN,NaN,NaN,0.0015586632846115,0.118715757823333,14.4974869122083
60,0.0389532853213703,0.00793309721527006,NaN,NaN,9.03403089556677,23.5691566096092,NaN,823.836246101613,381.590082712804,1102.16186536324,1022.26259049971,0.238448962812561,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,780.54177358295,NaN,NaN,NaN,NaN,NaN,0.00148572078750025,NaN,NaN,NaN
70,NaN,NaN,64.5679095857156,0.599318000194404,NaN,9.2512840456381,NaN,680.183301039329,NaN,557.132242116143,NaN,NaN,NaN,0.000520560298522616,0.0529673647215194,12.7100687887508
75,0.0381604435567174,NaN,NaN,NaN,9.58977092982987,NaN,NaN,NaN,544.517594691254,NaN,729.874474929201,0.157785457070847,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,510.574084168663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,61.853693816521,0.423959458068794,NaN,4.7805639685039,NaN,442.125801683163,264.780354859527,311.051844578026,NaN,NaN,0.000987127746368634,0.000540421716500474,0.071528807034792,10.4467871002781
90,0.033373416251781,NaN,NaN,NaN,9.70406294029834,NaN,250.537504420919,NaN,NaN,NaN,603.081649229115,0.0710900205343739,NaN,NaN,NaN,NaN
100,0.0596979319953196,NaN,37.3996868736766,0.441851231724621,12.4589816937781,11.7503394786916,141.670557668216,282.561935606389,196.27843271362,303.390028674241,623.640829935085,0.0578698682147033,0.00051010957711307,0.000459334459613077,0.0313411293564736,7.92730234477219
150,NaN,NaN,59.5628055179126,0.419641492015277,8.81795426403097,NaN,NaN,NaN,NaN,NaN,NaN,0.0355247175719561,0.000216027814130769,0.000454018536657136,0.0425531943909497,6.73824271566763
200,NaN,NaN,73.0717677185005,0.346695525269642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000201178953339536,NaN,0.0245146344867317,7.06808492701466
