conditionId	actd_level1	actd_t1	actd_t2	il6_level1	il6_tStep	input_actd	input_il6	input_ruxolitinib	input_stattic
D122_Sobotta_RS35_DR012	0	-11	-10	0	0	0	10	500	0
D123_Sobotta_RS35_DR012	0	-11	-10	0	0	0	100	500	0
D124_Sobotta_RS35_DR012	0	-11	-10	0	0	0	2.5	500	0
D125_Sobotta_RS35_DR012	0	-11	-10	0	0	0	25	500	0
D126_Sobotta_RS35_DR012	0	-11	-10	0	0	0	5	500	0
D127_Sobotta_RS35_DR012	0	-11	-10	0	0	0	50	500	0
D128_Sobotta_RS35_DR012	0	-11	-10	0	0	0	500	500	0
D129_Sobotta_RS35_DR013	0	-11	-10	0	0	0	0.1	0	0
D130_Sobotta_RS35_DR013	0	-11	-10	0	0	0	0.5	0	0
D131_Sobotta_RS35_DR013	0	-11	-10	0	0	0	1	0	0
D132_Sobotta_RS35_DR013	0	-11	-10	0	0	0	10	0	0
D133_Sobotta_RS35_DR013	0	-11	-10	0	0	0	100	0	0
D134_Sobotta_RS35_DR013	0	-11	-10	0	0	0	2.5	0	0
D135_Sobotta_RS35_DR013	0	-11	-10	0	0	0	25	0	0
D136_Sobotta_RS35_DR013	0	-11	-10	0	0	0	5	0	0
D137_Sobotta_RS35_DR013	0	-11	-10	0	0	0	50	0	0
D138_Sobotta_RS35_DR013	0	-11	-10	0	0	0	500	0	0
D139_Sobotta_RS35_DR014	0	-11	-10	0	0	0	0.1	500	0
D140_Sobotta_RS35_DR014	0	-11	-10	0	0	0	0.5	500	0
D141_Sobotta_RS35_DR014	0	-11	-10	0	0	0	1	500	0
D142_Sobotta_RS35_DR014	0	-11	-10	0	0	0	10	500	0
D143_Sobotta_RS35_DR014	0	-11	-10	0	0	0	100	500	0
D144_Sobotta_RS35_DR014	0	-11	-10	0	0	0	2.5	500	0
D145_Sobotta_RS35_DR014	0	-11	-10	0	0	0	25	500	0
D146_Sobotta_RS35_DR014	0	-11	-10	0	0	0	5	500	0
D147_Sobotta_RS35_DR014	0	-11	-10	0	0	0	50	500	0
D148_Sobotta_RS35_DR014	0	-11	-10	0	0	0	500	500	0
D149_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	0
D150_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	1
D151_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	10
D152_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	20
D153_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	5
D154_Sobotta_RS35_DR015	0	-11	-10	0	0	0	40	0	50
D155_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	20
D156_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	25
D157_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	30
D158_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	40
D159_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	50
D160_Sobotta_RS35_DR016	0	-11	-10	0	0	0	40	0	60
D161_Sobotta_RS35_DR017	0	-11	-10	0	0	0	0	0	40
D162_Sobotta_RS35_DR017	0	-11	-10	0	0	0	0.0005	0	40
D163_Sobotta_RS35_DR017	0	-11	-10	0	0	0	0.005	0	40
D164_Sobotta_RS35_DR017	0	-11	-10	0	0	0	0.05	0	40
D165_Sobotta_RS35_DR017	0	-11	-10	0	0	0	0.5	0	40
D166_Sobotta_RS35_DR017	0	-11	-10	0	0	0	100	0	40
D167_Sobotta_RS35_DR017	0	-11	-10	0	0	0	200	0	40
D168_Sobotta_RS35_DR017	0	-11	-10	0	0	0	5	0	40
D169_Sobotta_RS35_DR017	0	-11	-10	0	0	0	50	0	40
D170_Sobotta_RS35_DR017	0	-11	-10	0	0	0	500	0	40
D171_Sobotta_RS35_DR018	0	-11	-10	0	0	0	40	0	0
D172_Sobotta_RS35_DR018	0	-11	-10	0	0	0	40	0	20
D173_Sobotta_RS35_DR018	0	-11	-10	0	0	0	40	0	40
D174_Sobotta_RS35_DR018	0	-11	-10	0	0	0	40	0	50
D175_Sobotta_RS35_DR018	0	-11	-10	0	0	0	40	0	60
D176_Sobotta_RS35_DR019	0	-11	-10	0	0	0	60	0	0
D177_Sobotta_RS35_DR019	0	-11	-10	0	0	0	60	0	20
D178_Sobotta_RS35_DR019	0	-11	-10	0	0	0	60	0	40
D179_Sobotta_RS35_DR019	0	-11	-10	0	0	0	60	0	50
D180_Sobotta_RS35_DR019	0	-11	-10	0	0	0	60	0	60
D181_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	0	0
D182_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	10	0
D183_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	100	0
D184_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	1000	0
D185_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	200	0
D186_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	2000	0
D187_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	400	0
D188_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	50	0
D189_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	500	0
D190_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	5000	0
D191_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	600	0
D192_Sobotta_RS35_DR020	0	-11	-10	0	0	0	0	800	0
D193_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	0	0
D194_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	10	0
D195_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	100	0
D196_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	1000	0
D197_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	200	0
D198_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	2000	0
D199_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	400	0
D200_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	50	0
D201_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	500	0
D202_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	5000	0
D203_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	600	0
D204_Sobotta_RS35_DR021	0	-11	-10	0	0	0	40	800	0
