t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs,SHP1_Obs
80,NaN,0.0247138306435918,NaN,NaN,NaN,18.4104824372847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.66348766706345,NaN
85,NaN,NaN,0.0811506658058783,NaN,NaN,NaN,NaN,NaN,1235.66790843092,NaN,0.0704135694623841,NaN,NaN,NaN,0.000502645345143242,NaN,NaN,NaN
90,0.285084025319474,NaN,NaN,0.0160986830724582,27.3244822645827,NaN,4.7271868373714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1133.3380374031,NaN,1345.4376879871,NaN,NaN,NaN,NaN,NaN,0.031533759903696,NaN,31.3024799420355
100,0.281141973191505,0.0220516475206563,0.081218070176145,0.0144530397645163,28.4694146232951,16.586239484914,4.11610626554271,1027.76179898288,1128.45881602915,1239.7016797913,0.0716232286182577,18.0025901098742,0.000497442598102544,0.00043954327310937,NaN,NaN,4.09276603990047,29.8533235692089
150,0.258128940613089,0.0199798262670036,0.0784156012537941,0.0127496556321164,34.6824329629314,12.4278147907349,2.82773459631355,753.77387549177,770.058345447953,1001.29422987522,0.0691882695367401,25.6223535682836,0.0004053032116535,0.000331230182551444,0.000329946205340835,0.0399921376321053,4.28538693265416,27.6362943596831
200,0.288329063430834,0.0228153831114451,0.0793260492125189,0.0150168991211075,33.4205789452187,11.999257458435,2.76821767400521,630.012392028971,654.225795418446,713.549640740064,0.0428030173050456,30.2987411824198,NaN,0.000345094412720118,0.000295460891835474,0.0368233957644042,4.83928165490357,NaN
250,0.294993899957885,0.0219157374854007,0.0718246418636683,NaN,32.2951526077725,10.9300415773443,2.47077300877106,589.237501436049,625.867812985972,637.722181223542,0.0351658268479986,23.8911603270514,0.000252701263617547,0.000302194416264163,0.000291696856037702,0.0354794837626654,NaN,NaN
300,NaN,NaN,0.0765007856929206,NaN,NaN,10.8407677911178,2.44708908989585,599.611285374466,616.444002221545,587.07298773783,0.0346554198009573,23.1637785991016,0.000306956683518431,NaN,NaN,NaN,4.21740938965965,NaN
350,NaN,NaN,NaN,NaN,35.6388057589336,NaN,NaN,600.781653986057,NaN,551.660768335893,0.0323220387577911,22.558206699467,NaN,0.000316273884459746,0.000314567895033045,0.0366379458807703,4.40386693778552,NaN
400,NaN,NaN,NaN,NaN,36.6195971274853,10.9298202328662,2.40554950613518,574.239335233083,607.05180259484,586.01664244099,NaN,NaN,0.000274800537977503,NaN,0.00028788669483128,0.0323383584794178,4.86104560245896,NaN
450,NaN,NaN,NaN,NaN,NaN,12.2437190356784,NaN,NaN,NaN,NaN,NaN,18.7474178423048,NaN,0.000287704303474828,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,2.44412229297007,540.336609359883,NaN,NaN,NaN,NaN,0.00028418179482987,NaN,0.000288119230064575,0.0341389337862554,3.92315472798162,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000266241541595011,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320075743519592,4.21415725597062,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000305097597212397,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0395181570014276,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.36833666097239,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036002404355237,3.83438922059737,NaN
