t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
25,0.462446279931547,0.0345341967693798,0.142125681428587,0.0279331186434795,97.3701926213826,NaN,40.8853729745273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00832278998881801
30,NaN,NaN,NaN,NaN,NaN,NaN,37.207090755537,13.4028375933822,553.598551643639,399.951396760529,1.9680139828663,0.00279860677062334,NaN,0.00294455333979231,NaN
35,0.454187193609944,0.026360006600932,0.110619872720757,0.0158457096670316,94.6047378877133,0.226577569226614,NaN,NaN,684.198062940644,550.411577975692,NaN,NaN,0.00280321208598507,NaN,0.0193589001417492
40,0.32497655107807,NaN,NaN,NaN,NaN,NaN,48.7852013712738,10.2112597860956,NaN,NaN,4.61972699141877,NaN,NaN,0.0026580160521824,NaN
45,NaN,NaN,0.0598322892488465,0.0149026403318985,NaN,0.232968142989209,NaN,NaN,758.100217663706,799.687126620189,NaN,0.00211179901733015,0.00227253724740039,NaN,0.025947504098271
50,0.294457735539019,0.0188564022913536,NaN,NaN,85.5342140210564,NaN,50.8407610786387,9.60957689227585,806.302869662325,764.225592569308,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.0641672038900108,-0.000123469785766456,NaN,NaN,NaN,NaN,NaN,NaN,10.1494873938225,0.00177604429940388,NaN,0.00194131977439852,NaN
60,0.319753742141806,0.0184460960309051,NaN,NaN,87.0602737472373,0.236393665810271,NaN,7.06796278413842,NaN,NaN,NaN,NaN,0.0017020846027795,NaN,0.0369213858214584
65,NaN,NaN,NaN,NaN,NaN,NaN,56.1878989607427,NaN,644.960299056024,708.034763944319,12.8016606483,NaN,NaN,NaN,NaN
70,0.30552872694061,NaN,0.0585114636659663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00118279310918816,NaN,0.00140691567979808,0.04142572697446
75,NaN,0.0128053187148585,NaN,NaN,NaN,NaN,NaN,5.43638967656855,522.183354476633,582.328510372556,NaN,NaN,0.00102593521544336,NaN,NaN
80,NaN,NaN,NaN,NaN,104.233626120938,0.265479607336897,53.3846147147786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,0.302937649552156,NaN,0.0363003958723954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8353167675218,NaN,NaN,0.00107448926911771,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.54552469531603,368.186094529721,465.170030588013,NaN,0.00083275016100037,NaN,NaN,0.0430801509095401
95,NaN,0.0134022497891146,NaN,NaN,NaN,0.265639652443122,57.7025140057783,NaN,NaN,NaN,NaN,NaN,0.000666438924315067,NaN,NaN
100,0.293301776495507,0.0162681554242641,0.031905360394216,NaN,98.3149362712887,0.252618935200262,60.2375568996681,3.13842168565927,263.747490612333,355.10325450095,17.7053237781935,0.000697970100448885,0.000719052060680239,0.000785385035402838,NaN
150,NaN,NaN,NaN,NaN,102.584802475247,0.272425595016222,56.3531941991788,2.39602493257629,NaN,NaN,15.2844521093916,0.000291766044050954,0.000452157998044376,0.000531801502907218,NaN
200,NaN,NaN,NaN,NaN,104.667803044014,0.283546941416341,NaN,NaN,NaN,NaN,13.1081696977288,NaN,0.000434165186936108,NaN,NaN
