t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3_Obs,SOCS3nRNA5_Obs
60,5.62794464325167,NaN,0.0912807707002549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1101.02487894612,893.322245403411,NaN,2.64598262530888,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,34.3981363436357,NaN,NaN,NaN,17.0674513265764,NaN,1150.81989478387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.251931210158054,NaN,NaN,NaN,94.2866043967295,NaN,NaN,1036.73478355981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.06148752730363,NaN
75,NaN,NaN,NaN,NaN,0.309333330955747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0924898168606544,NaN,NaN,NaN,NaN,NaN
80,5.93455046271089,NaN,NaN,NaN,NaN,NaN,44.2112572301105,NaN,NaN,NaN,NaN,1100.24833720457,NaN,NaN,0.000458580761270596,0.000449185807724855,NaN,0.00047509940227823
85,NaN,NaN,0.0757539666184175,NaN,NaN,NaN,NaN,NaN,NaN,1003.4839115692,1068.27453347317,NaN,NaN,7.39292122291003,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,38.0248473278179,NaN,NaN,NaN,12.231473075256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,787.514304249717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,5.87949547712371,0.257942273624134,0.0732258130700148,33.5617698396198,0.342740481100068,113.510375981939,37.7387521947446,11.5345499181827,723.83268909206,818.51249087155,943.667157704558,1030.54759632586,0.0868687383471499,9.83666580690562,0.000364748795173287,0.000358895189345632,6.89567278933885,NaN
150,5.7713250748061,0.247054164966652,0.0690636375636526,33.8177639659188,0.344479211151175,122.829867204844,27.8041378793892,8.31170496079315,486.2226684191,484.073712966157,528.770730022963,557.63085989582,0.0514868534736595,15.1853136137433,0.00026058566549789,0.000249049698775391,6.76803784910313,0.000250062849189078
200,6.09278950078281,0.244521033455177,0.06327277149733,34.159554157125,0.345091982740002,124.802258619256,26.7190347258608,7.17224433851639,399.024530477058,430.010315997996,416.327348540251,408.42882344813,0.0363528383228942,16.7005249723562,0.000237268584517775,0.00023961667207737,6.27325982379666,NaN
250,6.24261476587148,NaN,NaN,NaN,0.336101663367978,127.422477005938,24.3747876605664,7.15100272474655,343.522911647895,349.865311770022,364.064332576998,406.22992917007,NaN,16.8966044737243,NaN,NaN,5.92857592138492,0.000227080722276697
300,NaN,0.242360427065559,NaN,NaN,NaN,124.944911344152,25.4746929573018,NaN,390.232962913307,345.63646374423,347.526474736604,365.357200222499,0.0302142496382522,16.1267763902408,0.000248034448933574,0.000217817775907703,5.97939184109159,0.000217683429553098
350,NaN,NaN,NaN,NaN,0.351280757217579,128.779983765369,25.5874562075702,6.74891008794782,NaN,361.130995493693,NaN,368.260674298187,0.0325411627622273,NaN,0.000227024518468229,0.00022545106400695,NaN,0.000232999136259894
400,NaN,NaN,NaN,NaN,0.337798413047114,NaN,26.0023012612916,7.5525247938351,359.192730810542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.72639641667344,NaN
450,NaN,NaN,NaN,NaN,NaN,124.793834172977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000231151124401036,0.000241951454973617,NaN,0.000236100034834072
500,NaN,NaN,NaN,NaN,0.35515729833212,NaN,27.9963700193707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4147915717805,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000231787834314307,0.000240291616217193,NaN,0.000232376926345255
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.88913574626256,NaN
650,NaN,NaN,NaN,NaN,0.3418831370105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
