t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3_Obs,Compound_1_Obs
80,NaN,NaN,NaN,NaN,NaN,6.99811864991101,3.60275207209038,NaN,NaN,0.0572435719391403,NaN,NaN,NaN,NaN,NaN
85,NaN,0.174066497334924,NaN,NaN,30.0161262992488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1.5356739504379,NaN,61.2725235376067,0.00624050348242942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.098283328253297,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88686918781069,NaN,NaN,NaN,NaN,NaN,NaN,0.120302058466538
100,2.16508978386276,0.11862444738755,33.3817122779974,0.00245124592798643,36.399894354667,2.95899615666605,4.21042911023591,8.94149265931143,0.071530624918416,0.0843880116154347,0.037434628761265,0.105772338630406,NaN,15.5154613239893,0.10332623187772
150,1.62057051695114,0.263757323589458,55.1353371440776,0.00533656838239596,55.6577873255667,6.5644344229289,6.60808740292582,9.68741926590218,0.116891374092341,0.0840551537319051,0.0793759309831343,0.0339576924812546,0.095849976384394,3.62699613505638,0.0870139632285977
200,1.0945580490289,0.167182537894276,NaN,0.00697981611421806,52.3598511847223,NaN,4.41296853964703,3.78315686413554,0.0805731228404133,0.0920846399947111,0.083423738004517,0.0638268980841905,0.108339386877453,10.0738481403925,0.0496812394546752
250,1.57630332940915,0.214581379891654,NaN,0.0064839302523996,NaN,NaN,3.11544580015026,10.0959286485475,0.0731090373486622,0.0688152104056191,0.0637191778662388,0.103699990733863,0.0911981914428352,6.30954569829699,0.0788633448536342
300,NaN,NaN,NaN,0.00589553354568515,NaN,NaN,2.96657662384224,7.54717336783796,0.0753659487891745,NaN,0.0582559818242427,0.106624901681506,NaN,15.2890779490511,0.133455472656781
350,NaN,NaN,NaN,NaN,NaN,NaN,3.27724181571688,NaN,NaN,0.102368253032584,0.0614224289988536,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,5.234404016137,NaN,0.0670009486304438,0.0726776181189916,NaN,0.073189051190816,NaN,9.77384182871854,0.127176096305084
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0787310246994919,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,4.76593700987098,NaN,0.0818447055287585,0.0614361029896018,NaN,0.0777678789818164,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0680018253390222,0.0634936146335434,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.080199397486747,0.0958129542685066,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.104065240366791,NaN,NaN,NaN
