t,PTPAct_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
300,0.00506336396109416,0.0157424382685412,0.0156568550477871,NaN,NaN,NaN,NaN,27.8241997046573,NaN,5.4300292507851,NaN,NaN,2.03774711347514,32.6649475110593,24.32834295011,NaN,38.9462187597617,1.58089459736079,4.8371965814969,13.1420004174136
350,0.00419720320367321,0.00994252317845522,0.0111537667175732,0.00950069923855287,0.0352814895624263,0.0351205508650328,0.0976182649033476,NaN,26.8249831117427,5.83875403605442,0.104513391019701,6.01047353364513,NaN,NaN,25.8504535039407,27.777291747659,NaN,1.27028813057218,4.93987560778444,10.7276234007797
400,NaN,NaN,NaN,NaN,0.0296279598365893,0.0255446115482414,0.104779572227721,NaN,NaN,NaN,0.118308514612037,5.18099879988304,2.10105536529463,NaN,38.4987919602933,NaN,43.5081517297609,1.00495956824277,5.81159348913336,NaN
450,0.0037304427253037,0.0094355446584016,0.0164344862456668,NaN,NaN,NaN,NaN,NaN,NaN,5.42206798714767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.37139949888412
500,NaN,NaN,NaN,NaN,0.0252400089791523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.48605007117264,NaN,NaN,NaN,NaN,NaN,6.1659642069531,9.01172221698313
600,0.00494983625085827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.51166564728135
700,0.00514744039441574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.23281259730664
850,0.00474339362754763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
