t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
50,NaN,0.172484262168918,0.0285763798112085,0.146315405537545,0.110741084076647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6513337074648
55,3.96000123965685,NaN,NaN,NaN,NaN,0.0699179169639152,29.2231731697932,NaN,NaN,4161.52950074098,4887.25663707643,NaN,5203.7022121337,NaN,NaN,0.00152125928817774,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.94920687098245,NaN,NaN,5231.11698426086,NaN,21.7887669764404,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.56094071963448,NaN,NaN,3726.7473272257,NaN,NaN,NaN,NaN,NaN,0.00118330986113763,0.00120031009739001,14.2461825251871
70,3.80945205107921,NaN,0.0270702276897849,0.133704011085572,0.0828470657826055,NaN,NaN,NaN,NaN,2856.95726924722,NaN,NaN,NaN,NaN,0.00108167292204472,NaN,NaN,NaN,NaN
75,NaN,0.151720609307792,NaN,NaN,NaN,0.0726876952662511,NaN,NaN,NaN,NaN,NaN,NaN,4948.22193047492,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,37.5610975162272,NaN,4.85072541144263,NaN,NaN,3374.55652677198,NaN,NaN,NaN,0.000812057194880831,NaN,NaN,16.1232266836357
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2429.3208209945,2326.23387604636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,3.23340476406225,NaN,0.0288650638717133,0.128212809591404,0.111600209844064,NaN,NaN,4.11568069452548,NaN,NaN,NaN,NaN,NaN,52.1874366364714,NaN,NaN,0.000702560564470138,0.000796811802154305,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2781.77304248343,NaN,0.000551985892849294,NaN,NaN,NaN,14.286995078057
100,3.46483901378198,0.174397532465648,0.0310137988815533,0.144838350551912,0.127748872646944,0.0695106338055396,36.813315671418,4.66254357956569,3.28209709549413,1495.51623204992,1761.49221364044,2237.27224477962,2781.77298051422,55.3518895186597,0.000621116993847122,0.000658230530429467,0.000861356600588721,0.000596907786766363,12.7233505319657
150,NaN,0.138714430846147,0.033621692976195,0.158439434138724,0.124115383906443,0.0838865115003077,34.0262435122452,5.40458282841946,4.81216224532292,1459.02507848635,1598.07767102611,1588.07234927799,1496.38469922926,56.4393911962297,0.000729543986684596,0.000798739683761479,0.000743995873687291,0.00085416883277934,11.4037453832318
200,NaN,0.157622712981408,0.0317813010877804,0.178447677998419,0.112843412659086,NaN,NaN,NaN,NaN,1847.38653659465,2006.52958838755,2127.61636744325,1668.3305968353,42.6451170479716,0.000650623754734114,0.000864131431440544,0.000791714540676148,0.000825271961287835,NaN
250,NaN,NaN,NaN,0.165601704326829,0.121395038277318,NaN,NaN,NaN,NaN,1774.37490958476,NaN,1804.05451657298,2190.19635014453,45.4555470233328,0.000787751133517402,0.000754086400977129,0.000774691463009649,0.000749531280755848,NaN
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1811.35246438331,NaN,1968.88615773224,NaN,42.7704960610685,0.000836943338203163,0.000799047036549776,0.000731189995257389,0.000773095446367738,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1803.79735612037,NaN,41.7118659427533,0.000888963316055031,0.00073306370746345,0.000911159746405024,0.000831003951865262,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1376.1686369482,NaN,50.4256247342724,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.2430187618019,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1764.33140174259,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.3740117388038,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.3312606548681,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.5903725296697,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.8753242118099,NaN,NaN,NaN,NaN,NaN
