t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,npSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
60,NaN,NaN,NaN,0.0112457547380708,NaN,NaN,NaN,800.702461458834,NaN,NaN,NaN,16.6458914738895,NaN,NaN,NaN
65,NaN,NaN,0.0296379817706033,NaN,25.536325118316,NaN,7.19144838440085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,0.0969712354639062,0.00972001758781776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,0.0105069723277787,NaN,0.11608371969692,NaN,NaN,817.765425553775,791.750138653696,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,23.4690540602443,NaN,NaN,NaN,NaN,NaN,0.0798651163165881,22.5698056614938,NaN,NaN,NaN
90,0.0913160462370907,0.00742985801653088,0.0297652186456435,NaN,NaN,NaN,NaN,661.45676356588,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00408761361539628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000539827604214218,NaN,NaN
100,0.09609781203394,0.00617370398952568,0.0309500020987396,0.00379946928317905,23.4846978705543,0.104858017285913,6.26178046847594,644.857448496143,660.009107305149,692.475433429407,NaN,32.0167432580836,NaN,0.000505178723943227,0.032974445784454
150,0.083005808513259,0.0060573750397957,0.0291546681200128,0.00111057675264389,25.1203323561669,0.110442143924833,5.01137726296042,524.490333754664,530.214919302339,540.790272847147,0.0581225114942516,34.9776828922588,0.000469497544461884,0.00042383805079115,0.045065891966223
200,0.0886813688762062,0.00750056161514743,0.0237182785337238,NaN,19.6893906598422,0.103819814120621,4.45969035027889,474.970345849925,453.440038110717,470.183473327541,0.0476929984610622,34.2494349328383,0.000430173051323275,0.000407462050949796,NaN
250,0.0924616872890613,0.00782506478336421,NaN,NaN,NaN,0.103904977433694,3.35868519390963,437.561349053937,392.750632143615,423.046439327005,0.0473929575839948,35.0434610015677,0.000366929580495667,NaN,0.0431228526241031
300,NaN,NaN,NaN,NaN,NaN,0.0954494945152637,3.63746748317386,475.950980155926,394.306841801457,427.556236139841,0.0404900066718085,34.4120204089406,NaN,0.000400021069622858,0.0431897174199745
350,NaN,NaN,NaN,NaN,NaN,0.106283287792535,3.30399355233772,416.801454643563,443.604532572526,NaN,0.0447806068471308,NaN,0.000394573288255076,0.000396170119431681,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,3.8148220253437,NaN,306.493154729936,411.614774954204,NaN,NaN,0.000354021321466183,NaN,0.0425896979780136
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.717487865577,NaN,458.556532343344,0.040111177594815,NaN,NaN,0.000336579031513407,0.0381015206703975
500,NaN,NaN,NaN,NaN,NaN,NaN,4.09533611469855,430.156175128496,395.641952904802,NaN,NaN,NaN,0.00043614936053123,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,452.252703930898,0.0361517122937006,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,3.94744433510423,NaN,NaN,NaN,NaN,NaN,NaN,0.000395755308602271,0.0466698486196695
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,386.663356842828,NaN,NaN,NaN,NaN,0.000348564513358867,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0402705339843182,NaN,NaN,NaN,0.0410929047292602
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000324136062430498,0.000414663002040939,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400331895093538
